point_sequence;latitude;longitude
1;51.133299;71.414292
2;51.133575;71.412528
3;51.1338;71.411079
4;51.134001;71.409878
5;51.13427;71.408182
6;51.134378;71.407506
7;51.133699;71.407217
8;51.133673;71.407018
9;51.133443;71.406906
10;51.133252;71.406938
11;51.133131;71.407002
12;51.132113;71.406584
13;51.131655;71.406412
14;51.130383;71.405919
15;51.128768;71.40521
16;51.12755;71.404717
17;51.126514;71.404341
18;51.126202;71.403934
19;51.125994;71.404095
20;51.125345;71.403896
21;51.124275;71.403531
22;51.122603;71.402936
23;51.121627;71.402603
24;51.120806;71.402121
25;51.120012;71.402003
26;51.119258;71.401713
27;51.118766;71.401305
28;51.118328;71.401391
29;51.117441;71.401048
30;51.117167;71.400957
31;51.116951;71.400712
32;51.116733;71.400769
33;51.115983;71.400527
34;51.115188;71.400254
35;51.114488;71.400007
36;51.114017;71.399664
37;51.113613;71.399685
38;51.113209;71.399578
39;51.113081;71.400393
40;51.112946;71.401262
41;51.112751;71.402689
42;51.112516;71.404277
43;51.112334;71.40565
44;51.112085;71.407431
45;51.111856;71.409212
46;51.111688;71.41035
