point_sequence;latitude;longitude
1;51.154046;71.52091
2;51.154243;71.520191
3;51.153684;71.519558
4;51.153008;71.518888
5;51.152702;71.518523
6;51.1524;71.518298
7;51.151197;71.517091
8;51.150329;71.516232
9;51.149926;71.515878
10;51.149697;71.516447
11;51.149072;71.518013
12;51.148789;71.5187
13;51.148406;71.519591
14;51.148305;71.519988
15;51.147888;71.521082
16;51.147249;71.522723
17;51.146771;71.523925
18;51.146415;71.524719
19;51.146206;71.52532
20;51.145836;71.526307
21;51.14519;71.528013
22;51.144908;71.528807
23;51.144646;71.528581
24;51.144235;71.528206
25;51.14398;71.527798
26;51.14324;71.527219
27;51.142136;71.526167
28;51.139964;71.524
29;51.137407;71.521629
30;51.136956;71.521189
31;51.136606;71.520663
32;51.136196;71.520503
33;51.13586;71.519945
34;51.135584;71.519387
35;51.135321;71.518657
36;51.134992;71.517584
37;51.134622;71.516039
38;51.134258;71.515245
39;51.133962;71.514484
40;51.133639;71.513304
41;51.13296;71.510986
42;51.132148;71.507649
43;51.131246;71.505096
44;51.130962;71.503873
45;51.130867;71.503186
46;51.130491;71.501791
47;51.130215;71.500601
48;51.129932;71.499817
49;51.129669;71.499238
50;51.129508;71.498648
51;51.129447;71.498122
52;51.129333;71.497521
53;51.129434;71.497167
54;51.129871;71.496727
55;51.131089;71.495891
56;51.132179;71.49529
57;51.132912;71.494539
58;51.133605;71.494067
59;51.134615;71.493326
60;51.135588;71.492838
61;51.136305;71.492146
62;51.137395;71.491363
63;51.137328;71.490998
64;51.137231;71.490564
65;51.137049;71.489979
66;51.136588;71.488219
67;51.136131;71.486557
68;51.135754;71.485044
69;51.135458;71.484035
70;51.135175;71.483059
71;51.134879;71.481889
72;51.134664;71.481149
73;51.134536;71.480731
74;51.134987;71.480484
75;51.135478;71.480108
76;51.136892;71.479079
77;51.138412;71.477963
78;51.139415;71.477276
79;51.139724;71.47704
80;51.139616;71.476493
81;51.139536;71.475946
82;51.139174;71.474926
83;51.138911;71.474154
84;51.138609;71.473135
85;51.138319;71.472073
86;51.137916;71.470592
87;51.137626;71.469616
88;51.137445;71.468918
89;51.136907;71.467041
90;51.13657;71.46556
91;51.136104;71.464208
92;51.135821;71.463264
93;51.135552;71.46246
94;51.135189;71.461666
95;51.13492;71.461065
96;51.134476;71.460507
97;51.13344;71.459724
98;51.132794;71.459273
99;51.13208;71.459123
100;51.130674;71.458586
101;51.129571;71.458125
102;51.129853;71.456258
103;51.13023;71.453952
104;51.131078;71.448544
105;51.13187;71.443427
106;51.132226;71.441056
107;51.132401;71.440315
108;51.132637;71.440208
109;51.132866;71.440487
110;51.132832;71.441109
111;51.132717;71.441431
112;51.132395;71.44171
113;51.13191;71.44171
114;51.131574;71.441141
115;51.131331;71.440423
116;51.130833;71.439875
117;51.130194;71.439575
118;51.129198;71.439189
119;51.128579;71.438824
120;51.126231;71.438041
121;51.124766;71.437472
122;51.125022;71.436528
123;51.12513;71.435412
124;51.125392;71.433685
125;51.125742;71.431367
126;51.124955;71.431067
127;51.123851;71.430573
128;51.123178;71.430337
129;51.121812;71.42979
130;51.120587;71.429297
131;51.120055;71.428975
132;51.119369;71.428792
133;51.118144;71.428331
134;51.116663;71.427623
135;51.116125;71.427559
136;51.115425;71.427301
137;51.113795;71.42669
138;51.113364;71.426378
139;51.112745;71.426282
140;51.11088;71.42567
141;51.109662;71.425209
142;51.108908;71.424769
143;51.108039;71.42464
144;51.106074;71.423943
145;51.103443;71.422999
146;51.100979;71.422076
147;51.099827;71.421658
148;51.099275;71.421368
149;51.098514;71.421229
150;51.096979;71.42066
151;51.096474;71.42051
