stop_sequence;stop_name;latitude;longitude;demand_level
1;Переулок Дегелен;51.154046;71.52091;LOW
2;Улица Козыбасы;51.152702;71.518523;MEDIUM
3;Буктырма;51.148406;71.519591;MEDIUM
4;Школа-гимназия №63;51.146415;71.524719;MEDIUM
5;Городская больница №1;51.14398;71.527798;MEDIUM
6;Масаты;51.136606;71.520663;MEDIUM
7;ул. Кобыз;51.134622;71.516039;MEDIUM
8;ул. Орхон;51.132148;71.507649;MEDIUM
9;ЖК Жайна;51.130215;71.500601;MEDIUM
10;ЖК Барыс;51.132179;71.49529;MEDIUM
11;Балкантау;51.135588;71.492838;MEDIUM
12;Улица Баганалы;51.137231;71.490564;MEDIUM
13;Кокпар;51.135754;71.485044;MEDIUM
14;Кемел;51.134987;71.480484;MEDIUM
15;Ресторан Туран;51.139536;71.475946;MEDIUM
16;проспект Тауелсиздик;51.13657;71.46556;MEDIUM
17;Парк им. Момышулы;51.132794;71.459273;MEDIUM
18;Дом Министерств;51.128579;71.438824;MEDIUM
19;Казакконцерт им. Розы Баглановой;51.125022;71.436528;MEDIUM
20;ЖК Уют;51.120055;71.428975;MEDIUM
21;ЖК Art House;51.116663;71.427623;MEDIUM
22;БЦ Olymp Palace;51.113364;71.426378;MEDIUM
23;ЖК Коркем-2;51.108908;71.424769;MEDIUM
24;Международная школа;51.099275;71.421368;MEDIUM
25;Казахская национальная академия хореографии;51.096703;71.419598;MEDIUM
26;Адилет Сарайы;51.097309;71.415242;MEDIUM
27;ЭКСПО-2017;51.098113;71.409674;MEDIUM
28;Назарбаев Университет;51.089101;71.402249;MEDIUM
29;Турар Рыскулова;51.086073;71.402829;MEDIUM
30;Городская больница №2;51.085285;71.408386;MEDIUM
31;Перинатальный центр №1;51.084578;71.413429;MEDIUM
32;Многопрофильная городская детская больница №3;51.08387;71.418364;MEDIUM
33;ЖК Экспо Сити;51.082271;71.421969;MEDIUM
34;Больница Медицинского центра УДП РК;51.078061;71.42036;MEDIUM
35;Е 495;51.074821;71.419212;MEDIUM
36;Детский сад Карлыгаш-2;51.070441;71.417645;MEDIUM
37;Е 319;51.066008;71.416068;MEDIUM
38;Канал Нура-Есиль;51.061547;71.414545;MEDIUM
39;ЖК Family village;51.060961;71.421003;MEDIUM
40;Международный детский сад;51.0639;71.425509;LOW
41;улица Маймекен;51.070864;71.436549;LOW
42;ЖК Куршевель;51.072394;71.438845;MEDIUM
