point_sequence;latitude;longitude
1;51.126935;71.404564
2;51.126931;71.404634
3;51.126926;71.404687
4;51.126952;71.404701
5;51.126972;71.404709
6;51.127017;71.404728
7;51.127068;71.404749
8;51.12712;71.404768
9;51.127175;71.404795
10;51.127241;71.404824
11;51.12729;71.404824
12;51.127342;71.40484
13;51.127413;71.404881
14;51.12749;71.404913
15;51.127634;71.40495
16;51.127743;71.404998
17;51.127881;71.405049
18;51.128011;71.405089
19;51.128117;71.405143
20;51.128192;71.40517
21;51.12829;71.405202
22;51.128387;71.405237
23;51.128502;71.405285
24;51.128618;71.405341
25;51.128746;71.405395
26;51.128845;71.40543
27;51.128965;71.405481
28;51.129103;71.405516
29;51.129206;71.405559
30;51.129305;71.405602
31;51.129394;71.40565
32;51.129428;71.40565
33;51.129505;71.405693
34;51.129574;71.405728
35;51.129655;71.405744
36;51.129732;71.405787
37;51.129815;71.405763
38;51.129887;71.405744
39;51.129973;71.405776
40;51.130042;71.405811
41;51.130138;71.405838
42;51.13021;71.405875
43;51.130301;71.405907
44;51.130382;71.40594
45;51.130454;71.405964
46;51.130549;71.405996
47;51.130624;71.406036
48;51.130788;71.406098
49;51.130843;71.4061
50;51.130892;71.406122
51;51.130956;71.406143
52;51.130988;71.406186
53;51.131033;71.406205
54;51.13105;71.406256
55;51.131053;71.40632
56;51.131057;71.406393
57;51.131077;71.40643
58;51.131109;71.406438
59;51.131148;71.406548
60;51.13118;71.406546
61;51.131194;71.406508
62;51.131227;71.406447
63;51.131264;71.406363
64;51.131291;71.40631
65;51.131353;71.406313
66;51.131422;71.406353
67;51.131496;71.406366
68;51.131594;71.406398
69;51.131687;71.406447
70;51.131772;71.4065
71;51.13186;71.406532
72;51.131952;71.406559
73;51.132065;71.406607
74;51.132127;71.406632
75;51.132222;71.406661
76;51.132471;71.406763
77;51.132578;71.406822
78;51.132721;71.406897
79;51.132794;71.406905
80;51.132873;71.406929
81;51.13295;71.406964
82;51.133031;71.406991
83;51.133139;71.407031
84;51.133226;71.407061
85;51.133325;71.407103
86;51.133361;71.407136
87;51.13342;71.407139
88;51.133508;71.407198
89;51.133617;71.407238
90;51.133757;71.407295
91;51.133853;71.407327
92;51.133942;71.40737
93;51.134041;71.407388
94;51.134141;71.407445
95;51.134255;71.407498
96;51.134383;71.407536
97;51.134497;71.407576
98;51.134602;71.407624
99;51.134762;71.407697
100;51.134871;71.407737
101;51.134982;71.407791
102;51.135093;71.407818
103;51.135273;71.407895
104;51.135416;71.407936
105;51.135519;71.407979
106;51.135639;71.408056
107;51.13576;71.408094
108;51.135864;71.408118
109;51.135984;71.408172
110;51.136071;71.408207
111;51.136118;71.408223
112;51.136118;71.408319
113;51.136135;71.408378
114;51.136169;71.408416
115;51.136216;71.408475
116;51.136234;71.40853
117;51.136265;71.408488
118;51.136278;71.408453
119;51.13629;71.408362
120;51.136319;71.408311
121;51.136361;71.408384
122;51.136418;71.408456
123;51.136465;71.408485
124;51.136504;71.40855
125;51.136554;71.408609
126;51.136593;71.408649
127;51.13665;71.408705
128;51.13669;71.408759
129;51.136736;71.408813
130;51.13678;71.408872
131;51.1368;71.408931
132;51.136845;71.408992
133;51.136852;71.409065
134;51.136874;71.409129
135;51.136894;71.409218
136;51.136919;71.409325
137;51.136938;71.4094
138;51.136958;71.409497
139;51.136983;71.409588
140;51.136998;71.409703
141;51.137;71.40981
142;51.136992;71.409923
143;51.136975;71.410063
144;51.136955;71.410277
145;51.13694;71.410484
146;51.136906;71.410792
147;51.136903;71.411007
148;51.13686;71.411267
149;51.136823;71.411608
150;51.136815;71.411803
151;51.1368;71.411999
152;51.136778;71.412152
153;51.136775;71.412233
154;51.136753;71.412415
155;51.136748;71.412554
156;51.136734;71.412667
157;51.136721;71.412855
158;51.136699;71.413053
159;51.136667;71.413217
160;51.13666;71.413327
161;51.136643;71.413541
162;51.136633;71.413659
163;51.136623;71.413839
164;51.136601;71.414054
165;51.136584;71.414215
166;51.136573;71.414346
167;51.136544;71.41452
168;51.136544;71.4147
169;51.136532;71.414864
170;51.136499;71.415009
171;51.136485;71.415145
172;51.136485;71.415266
173;51.136472;71.415387
174;51.136458;71.415513
175;51.136453;71.415596
176;51.136428;71.41569
177;51.13643;71.415827
