stop_sequence,stop_name,latitude,longitude,demand_level
1,"ЖК Ак Дидар",51.116987,71.388519,MEDIUM
2,"Школа-лицей имени Алтынсарина",51.119716,71.393234,MEDIUM
3,"Улица Толе Би",51.121648,71.393908,MEDIUM
4,"Улица Толе Би",51.123802,71.394588,MEDIUM
5,"Резидентский комплекс Зеленый квартал",51.127787,71.396691,MEDIUM
6,"Республиканский диагностический центр",51.126589,71.406054,MEDIUM
7,"Национальный кардиологический центр",51.126844,71.413474,MEDIUM
8,"проспект Кабанбай батыра",51.134373,71.414936,MEDIUM
9,"Улица Сарайшык",51.136174,71.416794,MEDIUM
10,"Улица Акмешит",51.135245,71.422399,MEDIUM
11,"Министерство иностранных дел",51.133584,71.432045,MEDIUM
12,"Бизнес-центр Downtown",51.128233,71.464956,MEDIUM
13,"Казахско-турецкий лицей",51.127056,71.472321,MEDIUM
14,"Кошкарбаева",51.125945,71.479628,MEDIUM
15,"улица Сарыкол",51.126776,71.486533,MEDIUM
16,"улица Кеген",51.128465,71.486104,MEDIUM
17,"улица Берен",51.129845,71.490716,MEDIUM
18,"Аспан Базар",51.130502,71.495911,MEDIUM
19,"Детский сад Еркемай",51.128139,71.497569,MEDIUM
20,"ЖК Сарайшык",51.125455,71.499533,MEDIUM
21,"ЖК Фламинго",51.121611,71.499498,MEDIUM
22,"ЖК Байтурсын",51.120149,71.496637,MEDIUM
23,"Школа Лицей им.Байтурсынулы",51.119429,71.501082,MEDIUM
24,"ЖК Астана Сани",51.116287,71.521462,MEDIUM
25,"Улица Мухамеджана Тынышбаева",51.115324,71.527308,MEDIUM
26,"Вокзал Нурлы жол",51.112498,71.53276,MEDIUM
